"Company / Agency","Email","Type","Status","Date Applied","Follow-up Date","Notes","Opening Scan Status","Matched Role(s)","Opening Source URL(s)","Confidence","Recommended Action","Scan Date"
"Talabat","careers@talabat.com ; https://corporate.talabat.com/careers/","Direct Employer","To Contact","","","","Openings Found","Staff Product Designer; Product Designer","https://designproject.io/jobs/staff-product-designer-global-hub-q-commerce-at-delivery-hero-devjh1 | https://ae.indeed.com/viewjob?jk=4027932f0f2914b3","High","Tailor resume and apply","2026-06-02"
"du Telecom","careers@du.ae","Direct Employer","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"ADMS UAE","info@admsuae.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89945308caee8 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89cf5ce9cc34b","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"AKRS","info@akrs.ae","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e899494cedcd60 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89cfc2a56acd0","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"ASRS","Info@asrs.ae","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8994d82744ae3 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d0228492b70","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Adecco","adeccoae.info@adecco.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89951d50b68b7 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d089904515a","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Al Mansoor Group","info@almansoorgroup.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89956b48c3cad | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d0ead50a17f","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Al Nahiya","enquiries@alnahiya.com ; info@alnahiya.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8995bb9aefbbb | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d146678c6a2","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Al Thawiya","enquiry@al-thawiya.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8995fe4f14b21 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d1b128adb5c","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Al Vakil","jobs@alvakil.net ; adminmumbai@alvakil.net","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8996472185e94 | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d20d8adcac1","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Antal","info@antal.com","Agency","Applied","2026-06-03","2026-06-10","Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8996a624036db | Duplicate resend approved by user; updated/tighter agency CV sent. Gmail sent id: 19e89d28a4d760b1","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"BAC Middle East","recruit@bacme.com ; submit@bacme.com","Agency","Applied","2026-06-03","2026-06-10","BAC-specific CV sent. To: recruit@bacme.com, submit@bacme.com. CC: mabel@bacme.com. Gmail sent id: 19e89c01053d2189","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"CIG","info@cig.ae","Agency","Applied","2026-06-03","2026-06-10","CIG-specific CV sent. Gmail sent id: 19e89e3fb8f18058. Sent to hr@cig.ae, info@cig.ae with CC ibrahim.bangi@cig.ae.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Derby Group","info@derbygroup.ae","Agency","Applied","2026-06-03","2026-06-10","Derby-specific CV sent. Gmail sent id: 19e89e85944d0089. Sent to info@derbygroup.ae with CC tarun@derbygroup.ae, francis@derbygroup.ae.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-02"
"Emirates Net","mansoor@emirates.net.ae","Agency","Applied","2026-06-03","2026-06-10","Emirates Net-specific CV sent. Gmail sent id: 19e8e0553783843e. Sent to mansoor@emirates.net.ae with CC hrd@emiratesnet.com, marketing@emiratesnet.com.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Executive Solutions ME","info@executivesolutionsme.com","Agency","Applied","2026-06-03","2026-06-10","Executive Solutions ME-specific CV sent. Gmail sent id: 19e8e0863577fe43. Sent to info@executivesolutionsme.com with attached agency CV.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Experts Recruitment","gaile@expertsrecruitment.com","Agency","Applied","2026-06-03","2026-06-10","Experts Recruitment-specific CV sent. Gmail sent id: 19e8e08855ab62ee. Sent to gaile@expertsrecruitment.com with attached agency CV.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Hays","clientmiddleeast@hays.com","Agency","Applied","2026-06-03","2026-06-10","Hays-specific CV sent. Gmail sent id: 19e8e08a2c672b47. Sent to clientmiddleeast@hays.com with attached agency CV.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Horizon Group","horizongroup@horizon.ae","Agency","Applied","2026-06-03","2026-06-10","Horizon-specific CV sent. Gmail sent id: 19e8e1f5148e7dda. Sent to horizongroup@horizon.ae with attached Horizon Group CV.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Innovation UAE","recruitment@innovationuae.com","Agency","Applied","2026-06-03","2026-06-10","Innovation UAE-specific CV sent. Gmail sent id: 19e8e239729c5bb6. Sent to jobs@innovationsglobal.com with attached Innovation UAE CV.","Needs Manual Check","","","Unknown","Follow up if no response","2026-06-03"
"Inspire Selection","info@inspireselection.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"JVI Global","jobseekers@jvi-global.com ; employers@jvi-global.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Kershaw Leonard","mike@kershawleonard.net","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Lobo Management","lobo@lobomanagement.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Mackenzie Jones","info@mackenziejones.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Manpower Middle East","info@manpower-me.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Michael Page","clientmiddleeast@michaelpage.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Nadia Global","Contact@nadiaglobal.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Nathan HR","info@nathanhr.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Pact Employment","info@pactemployment.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Randstad","corporate.communications@randstad.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Rawafed","careers@rawafed.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Reach Group","jobs@reachgroup.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Receptionist PA","info@receptionistpa.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"SSA Ltd","ian.mclean@ssaltd.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Sawaeed","info@sawaeed.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Spark","sparkmos@spark.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Sundus Recruitment","cv@sundusrecruitment.com ; info@sundusrecruitment.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"TASC Outsourcing","dxbjobs@tascoutsourcing.com ; request@tascoutsourcing.com ; info@tascoutsourcing.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Talascend","talascend.marketing@talascend.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"UHRS","info@uhrs.ae","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Xperts Jobs","cv@xpertsjobs.com","Agency","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"ACX","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Addenda","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Amwal","info@amwal.tech","LinkedIn/Search","Applied","2026-06-03","2026-06-10","Sent via Gmail; threadId 19e8dedb8e403e03; tailored CV: amwal-senior-product-designer-resume.md","Needs Manual Check","","","Unknown","Follow up after one week","2026-06-03"
"Caliberly","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Cander","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Charterhouse","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Cooper Fitch","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Greengage","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Halian","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"KinFitz & Co","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Masdar","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Million","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Petty","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Salt","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"She is Arab","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Sparklo","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Umatr","Find via LinkedIn/Website","LinkedIn/Search","To Contact","","","","Needs Manual Check","","","Unknown","Run company careers/LinkedIn check","2026-06-02"
"Ziina","anton.badashov@ziina.com; jocelyn.meyer@ziina.com","Direct Employer","Applied","2026-06-02","2026-06-09","Sent tailored Ziina fintech CV. Gmail sent id: 19e898b575624043","Opening Found","Senior Product Designer","https://job-boards.greenhouse.io/ziina/jobs/4631469101","High","Follow up in one week if no reply","2026-06-02"
