Company / Agency,Email,Type,Status,Date Applied,Follow-up Date,Notes
Kershaw Leonard,mike@kershawleonard.net,Agency,To Contact,,,
Lobo Management,lobo@lobomanagement.com,Agency,To Contact,,,
Mackenzie Jones,info@mackenziejones.com,Agency,To Contact,,,
Manpower Middle East,info@manpower-me.com,Agency,To Contact,,,
Michael Page,clientmiddleeast@michaelpage.ae,Agency,To Contact,,,
Nadia Global,Contact@nadiaglobal.com,Agency,To Contact,,,
Nathan HR,info@nathanhr.com,Agency,To Contact,,,
Pact Employment,info@pactemployment.ae,Agency,To Contact,,,
Randstad,corporate.communications@randstad.com,Agency,To Contact,,,
Rawafed,careers@rawafed.ae,Agency,To Contact,,,
Reach Group,jobs@reachgroup.ae,Agency,To Contact,,,
Receptionist PA,info@receptionistpa.com,Agency,To Contact,,,
SSA Ltd,ian.mclean@ssaltd.com,Agency,To Contact,,,
Sawaeed,info@sawaeed.ae,Agency,To Contact,,,
Spark,sparkmos@spark.ae,Agency,To Contact,,,
Sundus Recruitment,cv@sundusrecruitment.com ; info@sundusrecruitment.com,Agency,To Contact,,,
TASC Outsourcing,dxbjobs@tascoutsourcing.com ; request@tascoutsourcing.com ; info@tascoutsourcing.com,Agency,To Contact,,,
Talascend,talascend.marketing@talascend.com,Agency,To Contact,,,
UHRS,info@uhrs.ae,Agency,To Contact,,,
Xperts Jobs,cv@xpertsjobs.com,Agency,To Contact,,,
ACX,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Addenda,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Amwal,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Caliberly,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Cander,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Charterhouse,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Cooper Fitch,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Greengage,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Halian,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
KinFitz & Co,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Masdar,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Million,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Petty,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Salt,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
She is Arab,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Sparklo,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Umatr,Find via LinkedIn/Website,LinkedIn/Search,To Contact,,,
Intigly,sreenu.rj@intigly.com,Direct Employer,Applied,2026-06-12,2026-06-19,Sent Intigly PDF; portfolio included; Gmail Sent ID 19ebce8999575108.
Havells,ananya.vetal@havells.com,Direct Employer,Applied,2026-06-12,2026-06-19,Sent Havells PDF; live links included; Gmail Sent ID 19ebcfe0b4a0ae26.
Immediate Joiner Lead,lohithr5725@gmail.com,Networking,Networking,2026-06-12,,Sent immediate-joiner open-to-work note; Gmail Sent ID 19ebcff66fda741b.
BeeWeb,hr@beewebsystems.com,Direct Employer,Applied,2026-06-12,2026-06-19,Project-based UI/UX role; AI workflows; Gmail Sent ID 19ebd008efcc6c3d.
Marc Ellis,sara.e@marc-ellis.com,Direct Employer,Applied,2026-06-12,2026-06-19,UAE UI/UX designers; open to Dubai relocation; Gmail Sent ID 19ebd02e2b99c0c9.
Aumraa,talent@aumraadivine.com,Direct Employer,Applied,2026-06-12,2026-06-19,Mobile-first faith-tech product role; Gmail Sent ID 19ebd03cd3106138.
Nonzero,teams@nonzero.space,Direct Employer,Applied,2026-06-12,2026-06-19,Reply sent with work and details; CC aman@nonzero.space deep@nonzero.space shipra@nonzero.space; Gmail Sent ID 19ebd047fb39541e.
Flightmode,himanshu@theflightmode.studio,Direct Employer,Applied,2026-06-12,2026-06-19,Application sent with project-proud intro; Gmail Sent ID 19ebd0783ea60c22.
AM:PM Network,hr@ampmnetwork.com,Direct Employer,Applied,2026-06-12,2026-06-19,Consumer news app role; slash interaction; Gmail Sent ID 19ebd09de14b1487.
Froxfire,info@froxfire.com,Direct Employer,Applied,2026-06-12,2026-06-19,Remote UI/UX role; Gmail Sent ID 19ebd0bf4121da09.
Rocky Haque,info.rockyhaque@gmail.com,Direct Employer,Applied,2026-06-12,2026-06-19,Project-based UI/UX role; Gmail Sent ID 19ebd0fe5c532305.
UST,Rakeshkumar.Gaikwad@ust.com,Direct Employer,Applied,2026-06-13,2026-06-20,UX Lead role; Bangalore open; Gmail Sent ID 19ebd3a8b06cb3e7.
Chayanika Recruit Tech,chayanikarecruittech@gmail.com,Direct Employer,Applied,2026-06-13,2026-06-20,UI-heavy Bengaluru role; recruiter inbox; Gmail Sent ID 19ebd3be4e597aaf.
SheWork,reema.p@shework.in,Direct Employer,Applied,2026-06-13,2026-06-20,Pune UI/UX role; immediate joiner; Gmail Sent ID 19ebd3d43f9d2aef.
Turtlemint,careers@turtlemint.com,Direct Employer,Applied,2026-06-13,2026-06-20,Mumbai UI/UX role; Gmail Sent ID 19ebd3eef313a136.
Avancera Solution,hr@avancerasolutions.com,Direct Employer,Applied,2026-06-13,2026-06-20,Visual storyteller and systems thinker role; Gmail Sent ID 19ebd42f4ab3e0a0.
TestMu AI,aliyaakhtar@testmuai.com; manujg@testmuai.com,Direct Employer,Applied,2026-06-13,2026-06-20,Motion Designer role; prior referral mention; tailored product UI plus motion-aware storytelling CV; Gmail Sent ID 19ebda8d446a3a2d.
Appinventiv Technologies,shivangi.shukla@appinventiv.com,Direct Employer,Rejected / Appeal Sent,2026-07-03,2026-07-10,UI/UX Designer rejection received; appeal/follow-up sent; Gmail Sent ID 19f27fba38e37490. No further action unless prompted.
Muhammed Mujitaba,muhammedmujitaba@zohomail.com,Networking,Sent,2026-06-21,2026-06-28,Remote UI/UX Designer recruiter thread; LinkedIn profile shared; Gmail Sent ID 19eebaf10f3eda61.
Zyphora Technologies,hr.zyphoratechnologies@gmail.com,Direct Employer,Applied,2026-06-22,2026-06-29,UI/UX Designer role; tailored resume attached; Gmail Sent ID 19eebb2128f36849.
RectitudeCS,recruitment@rectitudecs.com,Direct Employer,Applied,2026-06-22,2026-06-29,ERP UI/UX contract role; tailored business-software resume attached; Gmail Sent ID 19eeec833b91e433.
Apptad,anjali.parashar@apptadinc.com,Direct Employer,Applied,2026-06-22,2026-06-29,Senior Product Designer role; tailored product design resume attached; Gmail Sent ID 19eeeccc95368f41.
Classcard,careers@classcardapp.com,Direct Employer,Applied,2026-07-07,2026-07-14,Product Designer application; Gmail Sent ID 19f3e89fc9e0e14e.
Techversant,careers@techversantinfotech.com,Direct Employer,Applied,2026-07-07,2026-07-14,UI/UX Designer application; Gmail Sent ID 19f3e8cbfbf1cd17.
Seventh Contact,niharika.sahu@seventh-contact.com,Agency,Applied,2026-07-07,2026-07-14,Product Designer (UI/UX) application; Gmail Sent ID 19f3e900bd6d09b5.
Seven Hiring,yuvika@sevenhiring.com,Agency,Applied,2026-07-07,2026-07-14,Motion Graphic Designer application; Gmail Sent ID 19f3e96b7e7d12a8.
Aegan Technologies,nickitha@aegan-global.com,Direct Employer,Applied,2026-07-07,2026-07-14,UI/UX Designer application; Gmail Sent ID 19f3e9af5dd56974.
Goldenflitch,careers@goldenflitch.com,Direct Employer,Applied,2026-07-07,2026-07-14,Lead Product Designer application; latest Gmail Sent ID 19f3e9dd6c318507; prior July 4 application ID 19f2e9911736ab84.
The Brink Agency,jobs@thebrinkagency.com,Agency,Applied,2026-07-07,2026-07-14,UX/UI Designer application; Gmail Sent ID 19f3eaadf47dbb71.
Aadira Softtech,shambhavi@aadirasofttech.com,Agency,Applied,2026-07-07,2026-07-14,UI/UX Designer application; Gmail Sent ID 19f3eacb3950a640.
PinkRoccade Local Government,Rutger.Wolters@PinkRoccade.nl,Direct Employer,Applied,2026-07-07,2026-07-14,UX Designer application; Gmail Sent ID 19f3eaf3a3afc999.
Onething Design,people@onething.design ; vedika@onething.design,Direct Employer,Applied,2026-07-04,2026-07-11,Sr. Product Designer application; no Gmail reply found in current check; Gmail Sent ID 19f2ea16a25cf8f1.
Nagarro,hr.mena@nagarro.com,Direct Employer,Applied,2026-07-04,2026-07-11,Product Designer application; no Gmail reply found in current check; Gmail Sent ID 19f2ea308b669f82.
Cognizant / Belgincts contact,belgincts@gmail.com,Direct Employer,Applied,2026-07-04,2026-07-11,UX Designer Native Mobile application; no Gmail reply found in current check; Gmail Sent ID 19f2e9f437d763bc.
Marc Ellis,kajal.m@marc-ellis.com,Agency,Applied,2026-07-04,2026-07-11,Senior UI/UX Designer AI-Driven Design application; no Gmail reply found in current check; Gmail Sent ID 19f2e9b9403fa570.
Dflex,jalal@dflex.dev,Direct Employer,Applied,2026-07-02,2026-07-09,UI/UX Designer application; Gmail reply recheck deferred due to temporary quota limit; tracker status is No Reply; Gmail Sent ID 19f22f5fa61073e1.
Glance / InMobi,varun.jaiswal@inmobi.com,Direct Employer,Applied,2026-07-02,2026-07-09,Sr. UX Designer application; no Gmail reply found in current check; Gmail Sent ID 19f22f44845b9a25.
74Software,ahasan@74software.com,Direct Employer,Applied,2026-07-02,2026-07-09,Product Designer application; no Gmail reply found in current check; Gmail Sent ID 19f22f1a247fe8cf.
DaringLionTech,hr@daringliontech.com,Direct Employer,Applied,2026-07-02,2026-07-09,Senior UX Designer application; no Gmail reply found in current check; Gmail Sent ID 19f22f044f624392.
