cluster_id,company,aliases,tabs,row_count,emails,domains,phones,notes
sparklo,Sparklo,,Needs Email Research,1,,,,
ssa_ltd,SSA Ltd,,Agencies,1,ian.mclean@ssaltd.com,ssaltd.com,,
standard_chartered_uae,Standard Chartered UAE,,Direct Employers,1,careers@sc.com,sc.com,,
sundus_recruitment,Sundus Recruitment,,Agencies,1,cv@sundusrecruitment.com|info@sundusrecruitment.com,sundusrecruitment.com,,
talabat,Talabat,,Direct Employers,1,careers@talabat.com,corporate.talabat.com|talabat.com,,
talascend,Talascend,,Agencies,1,talascend.marketing@talascend.com,talascend.com,,
tasc_outsourcing,TASC Outsourcing,,Agencies,1,dxbjobs@tascoutsourcing.com|info@tascoutsourcing.com|request@tascoutsourcing.com,tascoutsourcing.com,,
uhrs,UHRS,,Agencies,1,info@uhrs.ae,uhrs.ae,,
umatr,Umatr,,Needs Email Research,1,,,,
xperts_jobs,Xperts Jobs,,Agencies,1,cv@xpertsjobs.com,xpertsjobs.com,,
ziina,Ziina,,Direct Employers|Applied|Follow Ups,3,anton.badashov@ziina.com|jocelyn.meyer@ziina.com,ziina.com,,cross-tab
